date,client_lat,client_lon,client_city,client_country,client_asn,client_isp,server_lat,server_lon,server_site,server_city,download_mbps,min_rtt_ms,packet_loss_rate
2025-10-13,37.751,-97.822,,US,399829,,49.0097,2.54778,par08,Paris,105.96370754725115,126.343,0.07637047812178793
2025-10-13,37.751,-97.822,,US,11232,Midcontinent Communications,49.91,-97.2399,ywg02,Winnipeg,91.22066491453718,24.291,0.021421898406341053
2025-10-13,37.751,-97.822,,US,12025,"IO Capital Princess, LLC",50.1008,14.26,prg05,Prague,137.54943470663935,148.011,0.0
2025-10-13,37.751,-97.822,,US,53770,iQor US Inc.,14.5086,121.0194,mnl01,Manila,0.18396700274395228,516.966,0.0
2025-10-13,37.751,-97.822,,US,36692,"OpenDNS, LLC",42.6967,23.4114,sof02,Sofia,45.32410763628743,113.205,0.0
2025-10-13,37.751,-97.822,,US,273950,,-12.0219,-77.1143,lim01,Lima,149.15029992308433,2.765,0.09759420016250395
2025-10-13,33.3382,-111.9249,Tempe,US,22773,Cox Communications Inc.,51.4775,-0.461389,lhr07,London,143.13077552685698,138.584,0.0
2025-10-13,33.4532,-112.0748,Phoenix,US,8075,Microsoft Corporation,49.0097,2.54778,par05,Paris,132.87608642522952,152.203,0.0
2025-10-13,33.508,-112.0995,Phoenix,US,22773,Cox Communications Inc.,40.4719,-3.56264,mad04,Madrid,127.96746014835074,157.639,6.267068063995546e-05
2025-10-13,34.123,-117.8988,Azusa,US,20115,Charter Communications,58.8767,5.63778,svg01,Stavanger,118.5162233313097,163.441,0.0
2025-10-13,41.71,-72.2101,Willimantic,US,20115,Charter Communications,-33.9461,151.177,syd03,Sydney,59.119420251318424,283.064,0.0
2025-10-13,39.7503,-75.5453,,US,20134,CapRio Management LLC,25.0777,121.233,tpe01,Taipei,325.7757412224738,54.293,0.01997604354349765
2025-10-13,29.0266,-81.3349,DeLand,US,3356,"Level 3 Parent, LLC",53.4213,-6.27007,dub01,Dublin,141.5869553674415,119.061,0.036224951215483255
2025-10-13,26.1374,-80.1684,Fort Lauderdale,US,7018,"AT&T Services, Inc.",53.4213,-6.27007,dub01,Dublin,49.244929332606,99.986,0.36453880958840745
2025-10-13,25.9289,-80.1827,Miami,US,7922,"Comcast Cable Communications, LLC",53.4213,-6.27007,dub01,Dublin,150.1278803039328,121.222,0.0012298010348859943
2025-10-13,28.6225,-81.4317,Orlando,US,33363,"BRIGHT HOUSE NETWORKS, LLC",50.1008,14.26,prg05,Prague,180.08484755398817,114.111,0.0
2025-10-13,34.3385,-84.3741,Ball Ground,US,25853,Ellijay Telephone Company,49.0097,2.54778,par05,Paris,186.48729395635303,99.578,0.0
2025-10-13,21.4535,-158.0193,Mililani Town,US,54113,Fastly,21.3206,-157.924,hnl02,Honolulu,44.57829284785588,115.536,0.0
